;Title;Sub Title;Year
0;Collage;;1965
1;Assemblage;;1967
2;For Flute;;1969
3;Septet;;1969
4;Sonata for Piano;;1969-70
5;Portions for percussion solo and brass ensemble;;1970
6;For Koto;;1972
7;Computer Study;;1974
8;Schoolwork for tape;;1974
9;For Chamber Ensemble;;1974
10;Gentle Harvey for piano;;1974
11;For Chamber Ensemble;;1975
12;Realms for clarinet;;1980
13;Prelude for piano;;1981
14;Pulse/Impulse for solo percussionist;;1983
15;Regarding Artaud for flute;;1984
16;Trio for Clarinet, Viola and Marimba;;1984
17;Doodle Music for piccolo and percussion;;1985
18;Fern Hill for voice and cello;;1985
19;"Duo for Percussion; 3/8/86";;1986
20;Animistic Study for contrabass;;1986
21;Trio for Violin, Cello and Piano;;1986
22;Variations for Flute and Piano;;1987
23;Time Shadows for chamber ensemble;;1988
24;Fantasia for orchestra;;1988
25;Duo for Viola and Piano;;1989
26;Solo for Trumpet;;1989
27;Solo for Tuba;;1991
28;Trio for Flutes, Clarinets and Bass;;1991
29;Diminishing Returns for clarinet and marimba;;1992
30;Duo for Oboe and Piano;;1994
31;Embers for Mallet-Kat;;1993
32;Solo for Bass Trombone;;1994
33;Duo for Contrabassoon and Piano;;1995
34;Absence Affirmed for piano;;1995
35;Nautilus for orchestra;;1996
36;Duet for Violin and Cello;;1997
37;Solo for Violin;;1997
38;Absence Affirmed for orchestra;;1997
39;Ringing the Bells for soprano and piano;;1998
40;Dreams for amplified violin and six percussionists;;1999
41;Solo for Cello;;1999
42;Specters for orchestra;;2000
43;Solo for Piano;;2002
44;Lullaby for flute, clarinet, timpani, piano and string orchestra;;2002
45;Solo for Vibraphone;;2003
46;Mallets of Forethought;;2003
47;Dance (Hommage to Milhaud);;2003
48;Fable for five harps;;2005
49;Trio for Clarinet, violin and piano;;2006
50;Making It Up for orchestra;;2007
51;Cadenza for solo bassoon;;2011